"","x"
"1",310.324878896957
"2",329.983042511695
"3",296.650285511994
"4",321.395339735148
"5",292.760496888919
"6",345.215315732327
"7",386.596793774816
"8",298.321051735028
"9",301.712357645129
"10",316.353575521979
"11",296.672873460065
"12",297.443873984955
"13",291.337219657082
"14",289.328795379939
"15",291.047289603619
"16",304.003703829625
"17",293.66981787826
"18",282.973465368688
"19",303.68293749415
"20",365.06402959879
"21",306.708969207003
"22",299.782090536261
"23",353.891774858621
"24",344.418598767238
"25",287.211806346491
"26",313.023073023643
"27",300.280423197365
"28",318.755433695311
"29",282.179333209442
"30",297.78347387792
"31",293.837068224915
"32",298.65315831599
"33",301.115942565854
"34",288.687410753659
"35",358.259891656019
"36",334.539648583986
"37",329.041403393294
"38",301.83765794375
"39",300.501255628511
"40",289.635193706744
"41",291.470105467422
"42",307.459490371396
"43",292.018624082043
"44",337.156111568778
"45",291.196427995429
"46",308.0547732317
"47",342.328789455411
"48",353.403319416844
"49",354.05574078317
"50",301.763638456454
