"";"x"
"1";310,324878896957
"2";329,983042511695
"3";296,650285511994
"4";321,395339735148
"5";292,760496888919
"6";345,215315732327
"7";386,596793774816
"8";298,321051735028
"9";301,712357645129
"10";316,353575521979
"11";296,672873460065
"12";297,443873984955
"13";291,337219657082
"14";289,328795379939
"15";291,047289603619
"16";304,003703829625
"17";293,66981787826
"18";282,973465368688
"19";303,68293749415
"20";365,06402959879
"21";306,708969207003
"22";299,782090536261
"23";353,891774858621
"24";344,418598767238
"25";287,211806346491
"26";313,023073023643
"27";300,280423197365
"28";318,755433695311
"29";282,179333209442
"30";297,78347387792
"31";293,837068224915
"32";298,65315831599
"33";301,115942565854
"34";288,687410753659
"35";358,259891656019
"36";334,539648583986
"37";329,041403393294
"38";301,83765794375
"39";300,501255628511
"40";289,635193706744
"41";291,470105467422
"42";307,459490371396
"43";292,018624082043
"44";337,156111568778
"45";291,196427995429
"46";308,0547732317
"47";342,328789455411
"48";353,403319416844
"49";354,05574078317
"50";301,763638456454
"51";285,591819312996
"52";301,869219504869
"53";342,468623268595
"54";360,041457908128
"55";353,304124458254
"56";378,317484578426
"57";296,464784952072
"58";335,319547589849
"59";297,709496985365
"60";310,157864673831
"61";362,216348386707
"62";304,524969506052
"63";344,818220400308
"64";300,340252914208
"65";310,160447390153
"66";297,612751154803
"67";318,045750031274
"68";294,851285186175
"69";382,840082786934
"70";377,797811390481
"71";401,6438618588
"72";380,628034431627
"73";410,688187288858
"74";303,953339202039
"75";336,423896112154
"76";297,997972434358
"77";352,507518347983
"78";296,961271255755
"79";346,798259868319
"80";302,50542473693
"81";293,199223890544
"82";301,569258839297
"83";334,028769120476
"84";292,667360254265
"85";370,908779318061
"86";350,141030553071
"87";303,462346023111
"88";308,38472881702
"89";295,581134583562
"90";372,46573437734
"91";295,499246787355
"92";305,246136710901
"93";297,470355288859
"94";321,841013007296
"95";304,778068243986
"96";293,409151946426
"97";287,04487162587
"98";301,553695350272
"99";341,146139718864
"100";279,788845308833
"101";290,721213452989
"102";297,865373981031
"103";287,653831901038
"104";296,854290004357
"105";286,53240941241
"106";299,804106925488
"107";300,705476308803
"108";365,507565890101
"109";311,737656067688
"110";371,090084672276
"111";317,767936195236
"112";289,519643844341
"113";314,095591633978
"114";298,195028458374
"115";276,901853922856
"116";305,903879358113
"117";316,90173274952
"118";301,836226913491
"119";295,998277749365
"120";377,169381449736
"121";313,609245874684
"122";309,336258749678
"123";351,816911554239
"124";344,717763753195
"125";316,128665902612
"126";298,974377049879
"127";308,276828812599
"128";300,253869340075
"129";301,907510357718
"130";293,129054160324
"131";312,22285939673
"132";341,975184761575
"133";302,459599632332
"134";370,961599508039
"135";320,250229742595
"136";297,443099462786
"137";333,326029000507
"138";367,708332071524
"139";337,390726693154
"140";310,418579455354
"141";314,376308766817
"142";350,709893775586
"143";341,360753708615
"144";305,536113597187
"145";312,547903363581
"146";295,572483087865
"147";301,196828278739
"148";305,218436253527
"149";337,393756623767
"150";296,500413313381
"151";387,084201877208
"152";306,850624860708
"153";295,086492428394
"154";307,472915030853
"155";351,586033457931
"156";298,438970386646
"157";295,89988773226
"158";342,277938441124
"159";321,001655475772
"160";289,542448268223
"161";269,18319693521
"162";298,949973540467
"163";268,161930243538
"164";311,356949028498
"165";295,553022522756
"166";297,291177104736
"167";367,517475061564
"168";306,345997244557
"169";292,538332982955
"170";291,146994620042
"171";274,422662770899
"172";317,454122653786
"173";300,525409500715
"174";295,915907543792
"175";298,85967176182
"176";307,818122236219
"177";304,051046262305
"178";287,622017362209
"179";364,634300195001
"180";339,324232464393
"181";292,860187677327
"182";303,895463727622
"183";317,535060483911
"184";390,838536691147
"185";323,648839693148
"186";281,358026318383
"187";366,63334594739
"188";358,557138834934
"189";337,256583493162
"190";290,112215080385
"191";392,196221775574
"192";312,331864067845
"193";309,431342290271
"194";416,073913192378
"195";304,339668751323
"196";310,448536554028
"197";351,454199369818
"198";303,188440413568
"199";309,44011891383
"200";289,254277688054
"201";312,569256085051
"202";312,295107871686
"203";277,07498289905
"204";306,656959922591
"205";330,701572751913
"206";296,171940181318
"207";303,440021774061
"208";446,965366859104
"209";275,599006740117
"210";340,04686294822
"211";303,793244454687
"212";354,613351794001
"213";289,142401575656
"214";296,117232843515
"215";297,886579494979
"216";292,568290514755
"217";299,862366655169
"218";361,803377971944
"219";353,536356822706
"220";294,562277690489
"221";364,294399905103
"222";288,045505948489
"223";289,844366791319
"224";303,883457227941
"225";330,14002617238
"226";318,213118366674
"227";288,539851677409
"228";355,822733774847
"229";319,087740455578
"230";305,781780732454
"231";292,264408036116
"232";296,482917070925
"233";412,229534779362
"234";353,094532762377
"235";276,356190588961
"236";341,017777082993
"237";307,278978557534
"238";251,134816080047
"239";345,097922172291
"240";378,87047907514
"241";285,785381984472
"242";328,576791700513
"243";296,988119601023
"244";399,553540342299
"245";294,053524327885
"246";332,048181139614
"247";306,291667110588
"248";296,75627126489
"249";307,89444451909
"250";419,663595880245
"251";279,944751355496
"252";329,747820478584
"253";294,791513141704
"254";351,573350367321
"255";303,786017132455
"256";424,245647523984
"257";310,316693029723
"258";289,550738525223
"259";292,499785972991
"260";312,873964814707
"261";313,652614913212
"262";292,541300690065
"263";287,677207086496
"264";386,197195653512
"265";301,913873228204
"266";302,024784477704
"267";300,300450523431
"268";419,555634517127
"269";294,573782807472
"270";289,004958108014
"271";294,855530736327
"272";284,937453550406
"273";308,36483090744
"274";301,916073150707
"275";275,393410294921
"276";307,11506806132
"277";402,853757689762
"278";389,684813385666
"279";295,689023863064
"280";289,232887864194
"281";317,701803052264
"282";285,445669800572
"283";300,370174705862
"284";358,538969668093
"285";305,844014839882
"286";299,770383045908
"287";299,767143445124
"288";302,128873458188
"289";295,541539990447
"290";304,285242241347
"291";350,550021490743
"292";294,565287629652
"293";337,930435225731
"294";338,9539904587
"295";316,663767956854
"296";341,116739506232
"297";455,295961238091
"298";271,887060120839
"299";305,768258977221
"300";289,086262978184
"301";314,033370932581
"302";300,541882375536
"303";296,906936432524
"304";316,921707253371
"305";408,164933254173
"306";301,305559222146
"307";357,082219164168
"308";292,776826315566
"309";316,474303679079
"310";400,686142125953
"311";302,975528212613
"312";289,989048082656
"313";300,121913913883
"314";301,424886142114
"315";402,955117627419
"316";377,832395873402
"317";307,099556135053
"318";321,504205303549
"319";357,669201695549
"320";330,985068639512
"321";279,941416669708
"322";301,104102574398
"323";241,243901469922
"324";283,024078014836
"325";303,634935688059
"326";325,00767610657
"327";305,617502777343
"328";307,015071737315
"329";379,989686322202
"330";370,57803515838
